upc,title,price,category
a897fe39b1053632,A Light in the Attic,£51.77,Poetry
90fa61229261140a,Tipping the Velvet,£53.74,Historical Fiction
6957f44c3847a760,Soumission,£50.10,Fiction
e00eb4fd7b871a48,Sharp Objects,£47.82,Mystery
4165285e1663650f,Sapiens: A Brief History of Humankind,£54.23,History
f77dbf2323deb740,The Requiem Red,£22.65,Young Adult
2597b5a345f45e1b,The Dirty Little Secrets of Getting Your Dream Job,£33.34,Business
e72a5dfc7e9267b2,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Default
e10e1e165dc8be4a,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Default
1dfe412b8ac00530,The Black Maria,£52.15,Poetry
